Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Guadeloupe,GLP,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.4,0.4,0.4,0.4,NA,NA
The,GMB,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635616438356164,0.06356164384,0.06356164384,0.0953424657534247,0.0953424657534247,0.0953424657534247,0.0953424657534247,NA,NA
Guinea-Bissau,GNB,NA,NA,NA,NA,NA,NA,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.0317808219178082,0.0316939890710383,0.0317808219178082,0.0317808219178082,0.0317808219178082,0.0316939890710383,0.0317808219178082,0.0635616438356164,0.06356164384,0.0657863013744,0.0708712328767123,0.0708712328767123,0.0708712328767123,0.0708712328767123,NA,NA
Equatorial Guinea,GNQ,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,NA,NA
Greece,GRC,5.532338133,5.6,5.5,5.4,5.3,5.3,6.6,6.9,7.1,8.2,8.6,9.6,11,11,11,13,14,15,16,15,14,14,13,13,13,13,14,17,12,12,10,12,14,17,NA
Grenada,GRD,NA,NA,NA,NA,NA,NA,0,0.03178,0.03169,0.03178,0.06356,0.06356,0.06338,0.06356,0.09534,0.08219,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
Greenland,GRL,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001321351,0.011106126,0.002923836,0.002923836,0.002923836,NA,NA
Guatemala,GTM,1.354439764,1.4,1.4,1.6,1.7,1.7,2.8,2.8,3,3,3.1,2.9,3.7,3.3,4.4,3.3,4.8,4.9,5.4,5.7,6.5,6.7,6.7,7,7.4,7.9,7.9,7.8,8,7.4,7.7,8.2,8.8,NA,NA
French Guiana,GUF,NA,NA,NA,NA,NA,NA,0.07064,0.07581,0.08763,0.09821,0.1,0.1,0.09508,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.0635616438356164,0.0633879781420765,0.0635616438356164,0.0635616438356164,0.0635616438356164,0.0633879781420765,0.0635616438356164,0.0635616438356164,0.06356164384,0.076273972608,0.1,0.1,0.1,0.1,NA,NA
Guam,GUM,NA,NA,NA,NA,NA,NA,0.1,0.1,0.07923,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.09562,0.1,0.2,0.1,0.1,0.095890411,0.084931507,0.054794521,0,0,0,0,0,0,0,0,0,NA,NA
Guyana,GUY,NA,NA,NA,NA,NA,NA,1,0.6,0.6,0.5,0.4,0.1,0.4,0.09534,0.09534,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,NA,NA
Hawaiian Trade Zone,HITZ,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,HKG,3.130275493,3.5,3.8,4.1,4.4,4.5,5.1,4.9,2.8,5.6,5.8,6.5,6.8,4.2,1.8,4,5.1,5.2,4.1,3.7,5.6,8.2,7.4,7.4,11,12,13,14,14,12,12,13,12,NA,NA
Honduras,HND,0.300975301,0.3,0.2,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.6,0.8,0.8,1.4,0.9,1,1.2,1.3,1.5,1.7,1.7,1.6,2.5,3.3,2.9,2.5,1.8,2.4,2.7,3.3,NA,NA
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,1.8,0.2,1.4,0.6,0.4,1.3,0.4,0.4,1.4,0.7,0.8,1,1.1,1.2,4.7,5.5,5.5,3,4.8,4.5,4.8,NA,NA
Haiti,HTI,0.090290045,0.090290045,0.090290045,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.0953424657534247,0.4,0.3,NA,NA
Hungary,HUN,8.108210223,8.4,8.7,8.9,9.6,9.6,9.8,10,9.8,9.9,11,9.6,9,9,8.5,9.5,11,10,11,11,11,9.4,9.8,9.7,9.9,11,11,9.8,9.5,9.2,11,11,10,12,NA
Indonesia,IDN,1.77583573,2.1,2.2,2.6,3.3,3.2,6.7,8.2,8.8,9.7,12,13,15,17,19,15,24,19,26,20,31,31,26,30,37,39,39,41,58,88,120,138,160,NA,NA
India,IND,12.19000878,15,18,22,29,37,48,55,45,72,78,82,89,98,106,124,157,145,161,191,212,235,255,299,327,336,351,377,363,374,432,469,506,NA,NA
Ireland,IRL,4.62490059,4.5,4.8,4.3,4.2,4.3,4.1,4.4,4.2,4.5,4.3,4.3,4.2,4.3,4.4,4.3,4.1,4,4.2,4.3,4.5,4.6,4.4,4.3,4.5,4.8,5.5,4.5,4.7,3.3,4.2,3.3,2.6,4.6,NA
Iran,IRN,16.28345233,16,18,24,27,32,29,28,26,36,44,52,45,44,51,57,68,61,64,62,67,54,64,85,70,84,85,77,68,77,75,68,66,NA,NA
Iraq,IRQ,12.28029882,10,12,14,16,19,16,16,22,29,30,9.9,12,17,6.1,20,17,37,31,29,22,41,25,25,21,29,50,48,49,19,48,52,55,NA,NA
